generation,tick,preys_alive,predators_alive,food_alive,max_preys_this_gen,max_predators_this_gen,BestPreyFit,BestPredFit
8,650,13,98,250,114,100,210,160
8,700,10,96,250,114,100,210,160
8,750,6,92,250,114,100,220,160
8,800,6,86,250,114,100,220,160
8,850,5,79,250,114,100,210,160
8,900,5,72,250,114,100,230,160
8,950,5,61,250,114,100,240,160
8,1000,7,45,250,114,100,260,160
8,1050,8,29,250,114,100,260,150
8,1100,8,23,250,114,100,300,150
8,1150,9,18,250,114,100,300,150
8,1200,10,13,250,114,100,300,150
8,1250,9,11,250,114,100,320,150
8,1300,8,6,250,114,100,330,150
8,1350,9,5,250,114,100,350,150
8,1400,10,4,250,114,100,360,150
8,1450,10,4,250,114,100,380,150
8,1500,10,4,250,114,100,390,150
8,1550,10,3,250,114,100,410,150
8,1600,10,3,250,114,100,420,150
8,1650,10,1,250,114,100,420,90
8,1700,11,1,250,114,100,440,90
8,1750,10,1,250,114,100,440,90
8,1800,10,1,250,114,100,470,90
8,1850,8,1,250,114,100,470,90
8,1900,9,1,250,114,100,480,90
8,1950,10,1,250,114,100,480,90
8,2000,12,0,250,114,100,480,0
8,2050,12,0,250,114,100,480,0
8,2100,10,0,250,114,100,480,0
8,2150,12,0,250,114,100,480,0
8,2200,14,0,250,114,100,480,0
8,2250,15,0,250,114,100,490,0
8,2300,18,0,250,114,100,490,0
8,2350,21,0,250,114,100,490,0
8,2400,26,0,250,114,100,490,0
8,2450,34,0,250,114,100,510,0
8,2500,41,0,250,114,100,540,0
8,2550,50,0,250,114,100,550,0
8,2600,66,0,250,114,100,570,0
8,2650,78,0,250,114,100,580,0
8,2700,96,0,250,114,100,610,0
8,2750,116,0,250,116,100,640,0
8,2800,136,0,250,137,100,660,0
8,2850,150,0,250,150,100,670,0
8,2900,150,0,250,150,100,690,0
8,2950,150,0,250,150,100,720,0
8,3000,150,0,250,150,100,730,0
9,0,100,50,250,100,50
9,0,100,50,250,100,50
9,50,92,54,250,100,54,40,40
9,100,98,61,250,100,61,60,60
9,150,94,72,250,101,72,70,80
9,200,72,88,250,101,88,100,110
9,250,60,100,250,101,100,120,130
9,300,57,100,250,101,100,130,150
9,350,49,98,250,101,100,160,170
9,400,36,100,250,101,100,180,170
9,450,24,100,250,101,100,190,170
9,500,19,100,250,101,100,190,170
9,550,13,96,250,101,100,210,170
9,600,9,93,250,101,100,220,180
9,650,5,87,250,101,100,220,180
9,700,1,83,250,101,100,50,180
9,750,0,76,250,101,100,0,180
9,800,0,67,250,101,100,0,180
9,850,0,60,250,101,100,0,180
9,900,0,48,250,101,100,0,180
9,950,0,37,250,101,100,0,180
9,1000,0,28,250,101,100,0,170
9,1050,0,17,250,101,100,0,170
9,1100,0,10,250,101,100,0,170
9,1150,0,8,250,101,100,0,170
9,1200,0,5,250,101,100,0,170
9,1250,0,2,250,101,100,0,110
9,1300,0,2,250,101,100,0,110
9,1350,0,1,250,101,100,0,70
9,1400,0,0,250,101,100,0,0
9,1450,0,0,250,101,100,0,0
9,1500,0,0,250,101,100,0,0
9,1550,0,0,250,101,100,0,0
9,1600,0,0,250,101,100,0,0
9,1650,0,0,250,101,100,0,0
9,1700,0,0,250,101,100,0,0
9,1750,0,0,250,101,100,0,0
9,1800,0,0,250,101,100,0,0
9,1850,0,0,250,101,100,0,0
9,1900,0,0,250,101,100,0,0
9,1950,0,0,250,101,100,0,0
9,2000,0,0,250,101,100,0,0
9,2050,0,0,250,101,100,0,0
9,2100,0,0,250,101,100,0,0
9,2150,0,0,250,101,100,0,0
9,2200,0,0,250,101,100,0,0
9,2250,0,0,250,101,100,0,0
9,2300,0,0,250,101,100,0,0
9,2350,0,0,250,101,100,0,0
9,2400,0,0,250,101,100,0,0
9,2450,0,0,250,101,100,0,0
9,2500,0,0,250,101,100,0,0
9,2550,0,0,250,101,100,0,0
9,2600,0,0,250,101,100,0,0
9,2650,0,0,250,101,100,0,0
9,2700,0,0,250,101,100,0,0
9,2750,0,0,250,101,100,0,0
9,2800,0,0,250,101,100,0,0
9,2850,0,0,250,101,100,0,0
9,2900,0,0,250,101,100,0,0
9,2950,0,0,250,101,100,0,0
9,3000,0,0,250,101,100,0,0
10,0,100,50,250,100,50
10,0,100,50,250,100,50
10,50,107,51,250,108,51,40,30
10,100,136,57,250,137,57,70,60
10,150,150,62,250,150,62,90,60
10,200,145,80,250,150,80,100,80
10,250,129,100,250,150,100,130,90
10,300,118,100,250,150,100,130,120
10,350,108,100,250,150,100,150,130
10,400,89,100,250,150,100,150,140
10,450,71,100,250,150,100,160,140
10,500,53,100,250,150,100,210,160
10,550,47,100,250,150,100,220,160
10,600,45,99,250,150,100,250,160
10,650,38,100,250,150,100,280,160
10,700,39,97,250,150,100,310,180
10,750,36,98,250,150,100,340,180
10,800,42,95,250,150,100,370,180
10,850,38,88,250,150,100,390,180
10,900,30,87,250,150,100,420,220
10,950,25,81,250,150,100,430,220
10,1000,27,81,250,150,100,450,220
10,1050,20,79,250,150,100,460,220
10,1100,17,77,250,150,100,490,220
10,1150,5,76,250,150,100,330,220
10,1200,2,69,250,150,100,260,220
10,1250,2,62,250,150,100,290,230
10,1300,2,54,250,150,100,320,230
10,1350,2,45,250,150,100,320,230
10,1400,1,37,250,150,100,320,230
10,1450,2,35,250,150,100,340,230
10,1500,4,29,250,150,100,370,230
10,1550,4,21,250,150,100,400,230
10,1600,6,15,250,150,100,410,230
10,1650,9,12,250,150,100,440,160
10,1700,10,9,250,150,100,460,160
10,1750,13,8,250,150,100,470,160
10,1800,24,8,250,150,100,520,160
10,1850,29,6,250,150,100,530,160
10,1900,37,5,250,150,100,550,160
10,1950,47,5,250,150,100,560,160
10,2000,54,4,250,150,100,590,160
10,2050,60,4,250,150,100,620,170
10,2100,68,4,250,150,100,620,170
10,2150,76,4,250,150,100,650,170
10,2200,83,3,250,150,100,650,180
10,2250,89,3,250,150,100,680,180
10,2300,99,3,250,150,100,710,180
10,2350,114,3,250,150,100,730,180
10,2400,134,4,250,150,100,770,190
10,2450,149,5,250,150,100,770,190
10,2500,150,8,250,150,100,800,210
10,2550,150,9,250,150,100,820,250
10,2600,150,10,250,150,100,850,260
10,2650,150,11,250,150,100,860,270
10,2700,150,11,250,150,100,890,270
10,2750,150,13,250,150,100,910,290
10,2800,150,17,250,150,100,940,310
10,2850,149,19,250,150,100,950,320
10,2900,150,23,250,150,100,970,340
10,2950,149,30,250,150,100,980,360
10,3000,150,40,250,150,100,980,360
11,0,100,50,250,100,50
11,0,100,50,250,100,50
11,50,88,52,250,100,52,40,30
11,100,93,62,250,100,62,70,80
11,150,75,75,250,100,75,70,90
11,200,75,85,250,100,85,90,90
11,250,68,96,250,100,96,100,110
11,300,60,100,250,100,100,130,130
11,350,51,99,250,100,100,150,130
11,400,36,100,250,100,100,150,140
11,450,26,100,250,100,100,150,140
11,500,20,98,250,100,100,160,140
11,550,15,96,250,100,100,160,140
11,600,13,89,250,100,100,160,140
11,650,8,80,250,100,100,180,140
11,700,7,71,250,100,100,190,140
11,750,7,65,250,100,100,190,140
11,800,10,53,250,100,100,220,140
11,850,12,46,250,100,100,250,140
11,900,12,40,250,100,100,260,140
11,950,14,34,250,100,100,290,140
11,1000,22,30,250,100,100,340,140
11,1050,24,27,250,100,100,350,140
11,1100,29,23,250,100,100,370,140
11,1150,36,20,250,100,100,400,140
11,1200,36,15,250,100,100,410,140
11,1250,43,16,250,100,100,430,140
11,1300,48,18,250,100,100,470,150
11,1350,61,18,250,100,100,520,160
11,1400,68,21,250,100,100,530,160
11,1450,77,25,250,100,100,550,180
11,1500,89,27,250,100,100,560,180
11,1550,105,31,250,106,100,590,190
11,1600,128,32,250,128,100,590,190
11,1650,149,35,250,150,100,590,200
11,1700,150,41,250,150,100,610,210
11,1750,149,48,250,150,100,610,230
11,1800,150,55,250,150,100,640,240
11,1850,147,59,250,150,100,640,250
11,1900,144,69,250,150,100,680,280
11,1950,134,86,250,150,100,680,300
11,2000,134,99,250,150,100,710,330
11,2050,120,100,250,150,100,700,340
11,2100,113,100,250,150,100,740,340
11,2150,112,100,250,150,100,740,360
11,2200,108,100,250,150,100,760,390
11,2250,96,100,250,150,100,750,400
11,2300,74,100,250,150,100,760,410
11,2350,69,99,250,150,100,780,420
11,2400,66,99,250,150,100,800,430
11,2450,46,100,250,150,100,800,460
11,2500,32,100,250,150,100,810,460
11,2550,27,96,250,150,100,820,460
11,2600,18,96,250,150,100,830,460
11,2650,15,94,250,150,100,850,460
